Id,Label,timeset,modularity_class
"曼陀罗[一种被子植物门植物]",,,1
"植物界",,,2
"双子叶植物纲",,,1
"菊亚纲",,,1
"茄目",,,1
"茄科",,,1
"曼陀罗族",,,1
"曼陀罗属",,,1
"生物物种",,,4
"医学术语",,,16
"孜然[植物]",,,16
"被子植物门",,,5
"原始花被亚纲",,,5
"伞形目",,,16
"伞形科",,,16
"芹亚科",,,16
"阿米芹族",,,16
"孜然芹属",,,16
"自然",,,0
"中药",,,7
"蓬蒿",,,1
"菊目",,,1
"菊科",,,1
"春黄菊族",,,1
"茼蒿属",,,1
"茼蒿",,,1
"草本植物",,,1
"文学",,,3
"颠茄",,,1
"茄族",,,1
"植物",,,3
"芭蕉[芭蕉属植物]",,,2
"单子叶植物纲",,,2
"芭蕉目",,,2
"芭蕉科",,,2
"三色堇[草本植物]",,,15
"侧膜胎座目",,,15
"山茶亚目",,,15
"堇菜科",,,15
"堇菜属",,,15
"美丽堇菜亚属",,,15
"紫苏叶",,,7
"合瓣花亚纲",,,1
"管状花目",,,7
"唇形科",,,7
"野芝麻亚科",,,7
"塔花族",,,7
"紫苏属",,,7
"睡火莲",,,12
"被子植物亚门",,,17
"木兰亚纲",,,12
"睡莲目",,,12
"睡莲科",,,12
"睡莲属",,,12
"情人草",,,2
"舞草",,,2
"观赏植物",,,2
"香水百合[植物]",,,2
"百合目",,,2
"百合亚目",,,2
"百合科",,,2
"百合族",,,2
"百合属",,,2
"杨梅[杨梅科杨梅属植物]",,,3
"金缕梅亚纲",,,3
"杨梅目",,,3
"陆生植物",,,2
"常绿乔木",,,3
"无毒",,,7
"木本植物",,,3
"紫藤[豆科紫藤属植物]",,,9
"蔷薇目",,,5
"丘陵",,,9
"小毒",,,9
"中国",,,4
"苜蓿",,,5
"豆科",,,5
"蝶形花亚科",,,5
"车轴草族",,,4
"枇杷[水果]",,,5
"蔷薇亚纲",,,5
"蔷薇亚目",,,5
"蔷薇科",,,5
"苹果亚科",,,5
"枇杷属",,,5
"玉米[禾本科玉米属植物]",,,2
"禾本目",,,2
corn,,,2
"夏季",,,2
"西瓜霜",,,15
"葫芦科",,,15
"西瓜属",,,15
"橘子[芸香科柑桔属的一种水果]",,,9
Citrus reticulata,,,9
"芸香目",,,9
"芸香亚目",,,9
"柑橘亚科",,,9
"柑橘属",,,9
"柑橘亚属",,,9
"八角[木兰科八角属植物]",,,12
"毛茛目",,,12
"八角族",,,12
"肉被亚属",,,12
"人参[五加科人参]",,,16
"木兰纲",,,15
"人参族",,,16
"人参属",,,16
"中医",,,5
"木棉[锦葵目木棉科植物]",,,3
"木棉属",,,3
"昙花[仙人掌科植物]",,,11
"仙人掌目",,,11
"昙花属",,,11
"嘟柿",,,15
"杜鹃花目",,,15
"杜鹃花科",,,15
"越橘属",,,15
"竹[禾本科竹亚科植物]",,,2
"竹属",,,2
3,,,16
"桃花[蔷薇科桃属植物的花朵]",,,5
"李属",,,5
"温带",,,5
"水鬼蕉[植物]",,,2
"石蒜科",,,2
"水鬼蕉属",,,2
"恐龙[蜥形纲史前动物]",,,0
"原生生物界",,,0
"脊索动物门",,,0
"脊椎动物亚门",,,0
"双孔亚纲",,,0
"古生物",,,0
"古代史",,,0
"历史",,,0
"玛格丽特花",,,1
"桔梗目",,,1
"木茼蒿属",,,1
"葡萄柚",,,9
"西柚",,,9
"芸香科",,,9
"植物[有叶绿素和细胞壁能够进行自养的真核生物]",,,0
"真核生物域",,,0
"植被",,,0
"樱桃[蔷薇科落叶灌木果树]",,,5
"李亚科",,,5
"樱属",,,5
Cherry,,,5
"草莓[蔷薇科草莓属植物]",,,5
"蔷薇亚科",,,5
"水草[植物]",,,2
"鸭跖草亚纲",,,2
"莎草目",,,2
"莎草科",,,2
"飘拂草属",,,2
"魔芋",,,2
"磨芋",,,2
"中国食品科学技术学会",,,2
"香蕉[芭蕉科芭蕉属植物]",,,2
"姜亚纲",,,2
"姜目",,,2
"芭蕉亚科",,,2
"黄色",,,2
banana,,,2
"玉兰[木兰科木兰属植物]",,,12
"木兰目",,,12
"玉兰亚属",,,12
"梅[蔷薇科杏属植物]",,,5
"梅亚科",,,5
"牡丹[芍药科芍药属植物]",,,12
"芍药亚科",,,12
"矮牵牛",,,0
"碧冬茄",,,0
"罂粟[植物]",,,6
Papaver somniferum L,,,6
"罂粟目",,,6
"罂粟科",,,6
"罂粟属",,,6
"菊花[菊科菊属宿根草本植物]",,,1
"管状花亚科",,,1
"锡兰红茶",,,15
"山茶科",,,15
"斯里兰卡",,,8
"生活",,,15
"兰花[中国十大名花之一]",,,2
"百合亚纲",,,2
"兰目",,,2
"兰科",,,2
"兰亚科",,,2
"树兰族",,,2
"兰属",,,2
"月季花[蔷薇科植物]",,,5
"蔷薇属",,,5
"蔷薇亚属",,,5
"月季组",,,5
"桂花[中国木犀属众多树木的习称]",,,13
"唇形目",,,7
"木犀科",,,13
"水仙[石蒜科多年生草本植物]",,,2
"水仙属",,,2
"多花水仙",,,2
"埃及",,,10
"非洲",,,10
"开罗",,,10
7月23日,,,10
EGY,,,10
"阿拉伯语",,,10
"睡莲",,,10
"雄鹰",,,10
"单一制",,,10
"尼罗河",,,10
"荷花[莲科植物]",,,12
"莲属",,,12
"大蒜[蒜类植物的统称]",,,2
"种子植物门",,,17
"葱属",,,2
"荔枝[水果类植物]",,,9
"无患子目",,,9
"无患子科",,,9
"无患子亚科",,,9
"荔枝属",,,9
"杜鹃[杜鹃花科植物]",,,15
"五桠果亚纲",,,15
"杜鹃花亚科",,,15
"杜鹃属",,,15
"映山红亚属",,,15
"艺术家",,,15
"山茶花[山茶科、山茶属常绿灌木]",,,15
"山茶亚科",,,15
"山茶族",,,15
"山茶亚属",,,15
"昆明",,,15
"春城",,,15
"地级市",,,15
"西南地区",,,15
0871,,,15
"城市",,,15
"包谷",,,2
"玉米",,,2
"黍亚科",,,2
"栀子花[栀子花属植物]",,,1
"茜草目",,,1
"茜草科",,,1
"栀子族",,,1
"栀子属",,,1
"水横枝",,,1
"有丝分裂",,,1
"白刺",,,4
"牻牛儿苗目",,,4
"蒺藜科",,,4
"紫薇[千屈菜科紫薇属植物]",,,2
"桃金娘目",,,4
"无",,,2
"甘草[豆科甘草属植物]",,,7
"豆目",,,4
"山羊豆族",,,7
"多年生草本",,,7
"耐寒",,,3
"砂质壤土",,,7
"金丝小枣",,,5
"鼠李目",,,14
"鼠李科",,,14
"枣族",,,14
"枣属",,,14
"特产",,,5
"一氧化二氮",,,7
"有毒",,,7
"非生物",,,7
"医学",,,7
"桉树",,,3
"桉属",,,3
"砒霜[急性毒药]",,,7
"化学",,,3
"白鹤芋",,,2
"天南星科",,,2
"青藏高原[亚洲内陆高原]",,,0
"第三极",,,0
"藏语",,,2
"自然现象",,,0
"地理",,,0
"地点",,,0
"地形地貌",,,0
"白兰[木兰科含笑属植物]",,,12
"木兰族",,,12
"绒叶肖竹芋",,,2
"竹芋科",,,2
"肖竹芋属",,,2
"保亭花",,,3
"葡萄[葡萄属植物]",,,14
"葡萄科",,,3
"食品",,,14
"菜品",,,14
"变叶木",,,0
"大戟目",,,0
"大戟亚目",,,0
"大戟科",,,0
"巴豆亚科",,,0
"醉翁榆",,,3
"毛榆",,,3
"荨麻目",,,3
"榆科",,,3
"榆属",,,3
"雪莲[菊科风毛菊属高山草本植物]",,,1
"彩叶草",,,2
"菠萝菊",,,0
"红花属",,,0
"叉唇虾脊兰",,,2
"天门冬目",,,2
"虾脊兰属",,,2
"明星[汉语词语]",,,3
"大花蕙兰",,,2
"生物学",,,3
"学科",,,3
"树木",,,3
tree,,,3
"四叶草[车轴草属植物]",,,4
"幸运",,,4
"向日葵[菊科向日葵属植物]",,,0
"世界各地",,,0
"北美洲",,,0
"甜菜",,,11
"中央种子目",,,11
"藜科",,,11
"环胚亚科",,,11
"苦瓜[葫芦科苦瓜属植物]",,,15
"葫芦目",,,15
"南瓜族",,,15
"单曲",,,15
"乌龙茶[茶叶品种]",,,15
"山茶目",,,15
"君子兰[自然植物]",,,2
"君子兰属",,,2
"何首乌",,,11
"蓼目",,,11
"蓼科",,,11
"蓼亚科",,,11
"蓼族",,,11
"茶[中国传统饮品]",,,15
"山茶属",,,15
"茶组",,,15
"茶系",,,15
"茵陈[菊科植物]",,,7
"牛至属",,,7
"百里香亚族",,,7
"日梭万年历",,,4
"刘安国",,,4
4000年,,,4
"洛阳牡丹[中国名花]",,,12
Paeonia suffruticosa Andr,,,12
"毛茛科",,,12
"芍药属",,,12
"凤眼蓝",,,2
"粉状胚乳目",,,2
"雨久花亚目",,,2
"雨久花科",,,2
"中国水产学会",,,12
"慈利县",,,3
"慈姑",,,3
"零阳",,,3
"零阳镇",,,3
0744,,,3
"西南官话",,,3
"张家界荷花国际机场",,,3
"慈利站",,,3
"湘G",,,3
"土耳其",,,8
"亚洲",,,8
"安卡拉",,,8
1923年10月29日,,,8
"《独立进行曲》",,,8
"二战",,,8
"国家",,,8
"最甜的叶",,,3
"甜叶菊",,,3
"肇实",,,12
"芡实",,,12
"一串红[鼠尾草属植物]",,,7
"绿萝[常绿藤植物]",,,2
"龟背竹族",,,2
"麒麟叶属",,,2
"千日红[植物]",,,11
"苋科",,,11
"千日红属",,,11
"不灭的爱",,,11
"山楂[蔷薇科山楂属山楂果实]",,,5
"羽裂组",,,5
"千屈菜[植物]",,,4
"千屈菜科",,,4
"千屈菜属",,,4
"公丁香",,,4
"桃金娘科",,,4
"蒲桃属",,,4
"飞燕草[学名为Consolida ajacis的物种]",,,12
"毛莨目",,,12
"翠雀族",,,12
"飞燕草属",,,12
"大丽花[植物]",,,1
"向日葵族",,,1
"大丽花属",,,1
"大岩桐",,,1
"苦苣苔科",,,1
"大叶黄杨[卫矛目卫矛科植物]",,,2
"卫矛属",,,9
"茉莉花[木樨科素馨属灌木植物]",,,13
"玄参目",,,13
"木犀亚目",,,13
"素馨亚科",,,13
"素馨族",,,13
"马蹄莲[马蹄莲属植物的统称]",,,2
"天南星目",,,2
"千年健族",,,2
"万年青属",,,0
1821年,,,0
"山影拳",,,11
"石竹亚纲",,,11
"石竹目",,,11
"仙人掌科",,,11
"爬山虎[多种植物的别称]",,,5
"地锦属",,,5
lvy,,,5
"小苍兰",,,10
"香雪兰",,,10
"鸢尾科",,,2
"香雪兰属",,,10
Freesia,,,10
"凤仙花[凤仙花科草本植物]",,,0
"凤仙花属",,,0
"长春花[植物]",,,13
"捩花目",,,13
"夹竹桃科",,,13
"鸡蛋花亚科",,,13
"鸡蛋花族",,,13
"长春花属",,,13
"圣诞伽蓝菜",,,17
"景天科",,,17
"伽蓝菜属",,,17
"五色椒",,,1
"辣椒属",,,1
"辣椒",,,1
"五色梅[植物]",,,7
"马缨丹",,,7
"五星花[茑萝的别称]",,,1
"龙胆目",,,1
"龙胆亚目",,,1
"金鸡纳亚科",,,1
"耳草族",,,1
"五星花属",,,1
"桔梗[桔梗属草本植物]",,,1
"桔梗科",,,1
"桔梗亚科",,,1
"桔梗族",,,1
"水塔花",,,2
"凤梨亚目",,,2
"凤梨科",,,2
"石竹",,,0
"齿瓣组",,,0
"石榴[石榴科石榴属浆果]",,,4
"玉簪[天门冬科玉簪属植物]",,,2
"萱草族",,,2
"松花粉",,,0
"松科",,,0
"松属",,,0
"五月雪",,,0
"油桐花",,,0
LKA,,,8
.lk,,,8
"黑尾原鸡",,,8
"六月雪[茜草亚科植物]",,,1
"白马骨族",,,1
"柠檬[芸香科柑橘属植物]",,,9
"萝卜",,,6
"莱菔",,,6
"白花菜目",,,6
"十字花科",,,6
"芸苔族",,,6
"桃花心木[楝科常绿乔木]",,,3
"桃花心木亚科",,,3
"桃花心木属",,,3
"玫瑰[蔷薇科蔷薇属植物]",,,5
"桂味组",,,5
"宿萼大叶系",,,5
"白兰瓜",,,3
"白兰属",,,3
"菠萝",,,2
"黄梨",,,2
"凤梨属",,,2
"凤梨",,,2
"多年生草本植物",,,2
"聚花果",,,2
"橄榄[植物]",,,9
"橄榄科",,,9
"橄榄属",,,9
"书籍",,,17
"芦荟[芦荟属多年生草本植物]",,,2
"阿福花亚科",,,2
"芦荟族",,,2
"芒果[漆树科植物]",,,14
"杧果",,,14
"漆树亚目",,,9
"腰果族",,,14
"杧果属",,,14
"榴莲[热带著名水果之一]",,,0
"锦葵目",,,0
"木棉科",,,0
"榴莲属",,,0
"人参果[茄科果实]",,,1
"茄属",,,1
"莽吉柿",,,14
"藤黄科",,,14
"藤黄亚科",,,14
"藤黄族",,,14
"藤黄属",,,14
"果蔬",,,14
"椰子[棕榈科椰子属植物]",,,3
"可可椰子",,,3
"槟榔亚纲",,,3
"棕榈目",,,3
"槟榔亚科",,,3
"椰子族",,,3
"橙子[水果类]",,,9
"香橙",,,9
orange,,,9
"东南亚",,,1
"苋菜",,,11
"苋属",,,11
"鸢尾属",,,2
"爱丽丝",,,2
"圣女果",,,1
"菌类植物",,,1
"柿目",,,1
"果科",,,1
"樱桃番茄",,,1
"荼蘼[植物]",,,5
"空心泡",,,5
"空心莓组",,,5
"多心皮亚组",,,5
"文化",,,5
"直根系",,,1
"山丹[百合科百合属植物]",,,2
"细叶百合",,,2
"卷瓣组",,,2
"鳞茎",,,1
"百合[百合科百合属植物]",,,2
"野百合",,,2
"葛根",,,16
"葛属",,,16
"野葛",,,16
"科学",,,16
"益母草[唇形科母草属植物]",,,7
"野芝麻族",,,7
"益母草属",,,7
"医生",,,5
"人物",,,7
"旅游",,,15
travel,,,15
9月27日,,,15
"深圳十大客家古村落",,,15
"白薇[萝藦科、鹅绒藤属草本植物]",,,13
"马利筋亚科",,,13
"马利筋族",,,13
"药品",,,5
"火龙果[水果]",,,11
"量天尺属",,,11
"量天尺",,,11
"龙血树[灌木——观赏栽培植物]",,,2
"龙血树属",,,2
"虎尾兰属",,,2
"牛蒡[植物]",,,1
"菜蓟族",,,1
"牛蒡属",,,1
"二年生草本",,,1
"耐旱",,,1
"中性土壤",,,1
"鸭梨[水果品种]",,,5
"语言",,,5
"花椰菜",,,6
"甘蓝",,,6
"普洱茶[山茶科茶系树本]",,,15
"茶亚属",,,15
"饮品",,,15
"紫檀[豆科紫檀属乔木]",,,5
"黄檀族",,,5
"油茶[山茶科植物]",,,15
"天南星[天南星科天南星属植物]",,,2
"天南星族",,,2
"九层塔",,,7
"罗勒属",,,7
"罗勒",,,7
"小草[禾本科植物]",,,2
"画眉草亚科",,,2
"虎尾草族",,,2
"小草属",,,2
"社会",,,2
"珙桐",,,0
"山茱萸目",,,0
"稀有",,,0
"岩石[地质体]",,,0
"石头",,,0
"自然资源",,,0
"鹅毛树",,,13
"流苏",,,13
"寒月夜",,,17
"虎耳草亚目",,,17
"莲花掌属",,,17
"藏茵陈",,,1
"龙胆科",,,1
"显生宙",,,0
"枸杞",,,1
"爱情苹果",,,5
"苹果属",,,5
"玫瑰花[植物]",,,2
"蒲公英[菊科蒲公英属植物]",,,1
"舌状花亚科",,,1
"菊苣族",,,1
"猕猴桃[水果]",,,15
"猕猴桃科",,,15
"猕猴桃属",,,15
"苌楚",,,15
"十字花目",,,6
"西番莲[西番莲科植物]",,,15
"西番莲属",,,15
"风信子[风信子科多年生草本植物]",,,2
"风信子属",,,2
"红木[红木总称]",,,5
"茼蒿[植物]",,,1
"苦丁茶[冬青科冬青属植物]",,,1
"管花目",,,1
"大叶冬青",,,1
"断肠草[植物别称]",,,13
"马钱子",,,13
"马钱科",,,13
"钩吻属",,,13
"露兜树",,,3
"油棕",,,3
"棕榈科",,,3
"睡莲[睡莲科睡莲属水生植物]",,,12
"睡莲亚科",,,12
"医院",,,7
"马钱子[马钱科植物]",,,1
"马钱族",,,1
"马钱属",,,1
"王棕",,,3
"初生目",,,3
"槟榔族",,,3
"旅人蕉[旅人蕉科旅人蕉属植物]",,,2
"石蒜[石蒜属植物]",,,2
"红花石蒜",,,2
"郁金香[百合科郁金香植物]",,,2
"百合亚科",,,2
"郁金香属",,,2
"白玉兰[双子叶木兰科开白色花的植物]",,,12
"含笑亚属",,,12
"紫玉兰[木兰科木兰属植物]",,,12
"五味子[植物]",,,12
"八角目",,,12
"八角科",,,12
"五味子族",,,12
"五味子属",,,12
"少蕊五味子亚属",,,12
"龙葵[一年生草本茄科植物]",,,1
"龙葵亚属",,,1
"牵牛[牵牛属植物]",,,1
"旋花科",,,1
"旋花亚科",,,1
"番薯族",,,1
"茑萝松",,,1
"茑萝属",,,1
"朱顶红[植物]",,,2
"孤挺花属",,,2
"重楼[中药]",,,2
"重楼属",,,2
"秋季",,,5
"玉簪花[天门冬科玉簪属植物]",,,2
"枫树[植物]",,,2
"槭树",,,2
"槭树科",,,2
"槭树属",,,2
"茉莉[植物]",,,13
"茉莉花",,,13
"茉莉属",,,13
"红柳[植物]",,,15
"柽柳科",,,15
"柽柳属",,,15
"迎春花[木犀科素馨属植物]",,,13
"皱皮木瓜",,,5
"木瓜属",,,5
"米兰花",,,9
"米仔兰",,,9
"楝科",,,9
"楝亚科",,,9
"鹧鸪花族",,,9
"米仔兰属",,,9
"含笑花[木兰科含笑属植物]",,,12
"吊兰[植物]",,,2
"天门冬科",,,2
"吊兰族",,,2
"吊兰属",,,2
"橡皮树",,,3
"桑科",,,3
"榕属",,,3
"龟背竹",,,2
"吊竹梅[鸭跖草科常绿草本植物]",,,2
"鸭跖草亚目",,,2
"吊竹梅属",,,2
"虎耳草[虎耳草科植物]",,,5
"虎耳草亚科",,,5
"虎耳草族",,,5
"虎耳草属",,,5
"虎耳草亚属",,,5
"彼岸花[石蒜科植物]",,,2
"石蒜属",,,2
"袖珍椰子",,,0
"竹棕属",,,0
"春羽[天南星科植物]",,,2
"春芋",,,2
"喜林芋属",,,2
"天竺葵[灌木花卉植物]",,,4
"牻牛儿苗科",,,4
"天竺葵属",,,4
"田三七",,,16
"五加科",,,16
"假人参",,,16
"沙枣树",,,4
"胡颓子科",,,4
"胡颓子属",,,4
"金银花[植物]",,,16
"忍冬",,,16
"川续断目",,,16
"忍冬科",,,16
"忍冬族",,,16
"忍冬属",,,16
"清热解毒药",,,16
"宝石花[多肉植物的统称]",,,17
"拟石莲花属",,,17
"永不凋谢的花朵",,,17
"酒瓶兰",,,2
"象腿树",,,2
"龙舌兰科",,,2
"花旗参",,,16
"西洋参",,,16
"桔梗花[植物]",,,1
"桔梗属",,,1
"骆驼刺[豆科骆驼刺属植物]",,,4
"骆驼草",,,4
"荒漠",,,4
"山茶[植物]",,,15
"刺楸",,,16
"多蕊木族",,,16
"锁阳[锁阳科、锁阳属多年生肉质寄生草本]",,,3
"幸运草[植物]",,,4
"车轴草属",,,4
"西瓜[葫芦科植物]",,,15
watermelon,,,15
"大谷运茶",,,15
"雅鲁藏布大峡谷",,,0
"青藏高原",,,4
"第四纪",,,0
"亚热带季风气候",,,0
"狗尾巴草",,,5
"禾本科",,,2
"黍族",,,2
"狗尾草属",,,2
"狗尾草",,,5
"食人树",,,3
"含羞草[含羞草－豆科植物]",,,5
"含羞草亚科",,,5
